Time S R 
11.3892 1829 1 
11.3892 1830 1 
11.38961 1829 1 
11.39013 1830 1 
11.39018 1831 1 
11.39023 1830 1 
11.39024 1829 1 
11.39035 1828 1 
11.39038 1827 1 
11.39039 1828 1 
11.39062 1829 1 
11.39089 1828 1 
11.3913 1829 1 
11.39154 1828 1 
11.39244 1829 1 
11.39246 1830 1 
11.39251 1829 1 
11.39258 1830 1 
11.39261 1829 1 
11.39267 1828 1 
11.39291 1827 1 
11.39298 1826 1 
11.39316 1825 1 
11.39326 1824 1 
11.39358 1823 1 
11.39374 1824 1 
11.39391 1823 1 
11.39407 1822 1 
11.39428 1823 1 
11.39439 1824 1 
11.39461 1823 1 
11.39487 1822 1 
11.395 1823 1 
11.39528 1824 1 
11.39554 1823 1 
11.39568 1824 1 
11.39573 1823 1 
11.39585 1822 1 
11.39598 1821 1 
11.39598 1820 1 
11.39648 1821 1 
11.39672 1820 1 
11.39707 1821 1 
11.39733 1820 1 
11.39746 1819 1 
11.3976 1820 1 
11.39786 1821 1 
11.3983 1820 1 
11.39833 1821 1 
11.3991 1820 1 
11.39936 1819 1 
11.39944 1820 1 
11.39966 1821 1 
11.40077 1820 1 
11.40102 1819 1 
11.40104 1820 1 
11.40126 1819 1 
11.40135 1820 1 
11.40144 1819 1 
11.40157 1818 1 
11.40158 1819 1 
11.40215 1820 1 
11.40232 1821 1 
11.4024 1822 1 
11.40335 1821 1 
11.40335 1820 1 
11.40345 1819 1 
11.40377 1818 1 
11.40397 1817 1 
11.40419 1818 1 
11.40421 1819 1 
11.40424 1818 1 
11.40459 1819 1 
11.40479 1820 1 
11.40522 1821 1 
11.40546 1822 1 
11.40552 1821 1 
11.40564 1822 1 
11.40577 1823 1 
11.40588 1822 1 
11.40657 1821 1 
11.40732 1820 1 
11.40766 1819 1 
11.40767 1820 1 
11.40786 1821 1 
11.40793 1822 1 
11.40794 1823 1 
11.4082 1824 1 
11.40875 1823 1 
11.40894 1822 1 
11.4094 1823 1 
11.40943 1822 1 
11.40952 1823 1 
11.40966 1824 1 
11.40968 1823 1 
11.40975 1824 1 
11.41009 1825 1 
11.41129 1824 1 
11.41151 1825 1 
11.41158 1824 1 
11.4119 1823 1 
11.41237 1824 1 
11.41238 1823 1 
11.4124 1822 1 
11.41254 1823 1 
11.41275 1822 1 
11.41279 1823 1 
11.41287 1824 1 
11.41313 1825 1 
11.41376 1824 1 
11.41403 1825 1 
11.41409 1824 1 
11.41436 1825 1 
11.41448 1824 1 
11.4145 1825 1 
11.41478 1824 1 
11.41501 1825 1 
11.41529 1826 1 
11.41583 1825 1 
11.41616 1826 1 
11.41657 1825 1 
11.41663 1824 1 
11.41686 1823 1 
11.4169 1824 1 
11.4174 1825 1 
11.41748 1826 1 
11.41782 1827 1 
11.41807 1826 1 
11.41817 1827 1 
11.41826 1826 1 
11.41837 1827 1 
11.41903 1826 1 
